Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
OR8D4	11	123906146	123907476
USP5	12	6852128	6866632
LIX1	5	97091867	97142872
PTPRB	12	70515866	70637440
PRDM16	1	3069168	3438621
IL17D	13	20702127	20723098
KLHL30	2	238138722	238152947
IGSF9	1	159927039	159945604
AQP9	15	58138169	58185911
FLNB	3	58008400	58172251
KRT3	12	52789685	52796117
FBXL12	19	9810267	9827816
BEND2	X	18162931	18220883
GABRQ	X	152638183	152657534
GTF2IRD1	7	74453790	74602604
MSRA	8	10054268	10428891
SNX16	8	81799581	81842866
PRR4	12	10845849	11171613
PIK3C2A	11	17077730	17207983
NINJ1	9	93121489	93134288
OR10H4	19	15949008	15949958
TMEM123	11	102396332	102470384
TGM6	20	2380908	2432753
GDF2	10	47322490	47326270
ALPP	2	232378534	232382889
FAM131A	3	184335926	184346275
C7orf66	7	108883975	108884587
CHRNB1	17	7445061	7457707
TTC34	1	2635976	2789755
XAGE5	X	52812204	52818301
ARL13A	X	100969708	100990829
FOXL1	16	86576368	86582160
FOXF2	6	1389834	1395597
PPIC	5	123023250	123036741
HES2	1	6412418	6424670
NOTCH4	CHR_HSCHR6_MHC_MCF_CTG1	32271266	32300513
BTN1A1	6	26501221	26510422
ACER2	9	19409059	19452020
DUSP9	X	153642492	153651326
KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54738507	54767882
CASZ1	1	10636604	10796650
JPH3	16	87601835	87698156
TMEM63B	6	44126914	44155519
ARHGEF15	17	8310241	8322516
WIPF1	2	174559572	174682916
PAPD4	5	79612120	79686648
ATP8B1	18	57646426	57803101
DENND2D	1	111187174	111204535
DUPD1	10	75037836	75058514
RALYL	8	84182787	84921844
CRIM1	2	36355926	36551135
DAGLB	7	6409126	6484190
ZNF578	19	52453576	52512154
FAM122B	X	134769566	134797232
B3GNTL1	CHR_HSCHR17_1_CTG9	82942371	83050530
TBX10	11	67631303	67639560
SLC27A3	1	153774354	153780157
IL21	4	122612628	122621069
RAD21	8	116845935	116874866
NEUROD4	12	55019945	55030014
PDCD1LG2	9	5510570	5571254
CAMP	3	48223347	48225491
ERG	21	38380027	38661780
ART1	11	3645128	3664416
CTSF	11	66563463	66568841
NSG1	4	4348140	4419058
BCCIP	10	125823546	125853695
RIMKLA	1	42380795	42422578
KHDRBS1	1	32013829	32060850
GLI4	8	143267433	143276931
PDIA6	2	10783391	10837977
ENTPD3	3	40387156	40428619
ARF1	1	228082660	228099212
HIST1H3I	6	27871905	27872315
SYNDIG1L	14	74405893	74426102
ZWINT	10	56357228	56361275
USF1	1	161039251	161045977
IER5L	9	129175552	129178262
NDUFA6	CHR_HSCHR22_1_CTG1	42085525	42090955
IL1RN	2	113107214	113134016
RFTN1	3	16313574	16514026
SPAG1	8	100157906	100259278
SRR	17	2303383	2325260
LILRA1	CHR_HSCHR19LRC_PGF1_CTG3_1	54504396	54532898
EXOG	3	38496127	38542161
GLOD4	17	757097	783390
KRT77	12	52689626	52703463
SLC47A1	17	19495385	19579034
FLVCR2	14	75578617	75663214
FAM96B	16	66932055	66934423
DLG4	17	7189890	7219702
MRRF	9	122264603	122331343
SNTB2	16	69187129	69309052
PICALM	11	85957684	86069882
ISG20L2	1	156721891	156728799
LAIR2	CHR_HSCHR19_4_CTG3_1	54505847	54518644
SYT16	14	61995823	62112550
SLC10A3	X	154487306	154490690
NAIF1	9	128061233	128068206
SLC25A30	13	45393316	45418455
SIK3	11	116843402	117098437
ARF6	14	49893092	49897054
EHHADH	3	185190624	185281990
OPRD1	1	28812142	28871267
MOCS3	20	50958826	50963931
HIF1A	14	61695513	61748259
WNT9B	CHR_HSCHR17_2_CTG5	46662121	46715644
ZHX3	20	41178448	41317672
ZNF711	X	85244032	85273362
MR1	1	181033425	181061938
EBNA1BP2	1	43164175	43270936
OR56A4	11	6001986	6003194
PSMD4	1	151254703	151267479
PREX1	20	48624252	48827883
SENP7	3	101324205	101513241
SLC27A6	5	128538013	129033642
CENPV	17	16342534	16353656
AADACL2	CHR_HSCHR3_1_CTG2_1	151744454	151770036
NEUROD6	7	31337461	31340894
IMPA1	8	81657961	81686693
ZDHHC6	10	112424428	112446917
ST7	7	116953238	117230103
IPO13	1	43946939	43968022
OR2A12	7	144095048	144096093
BCS1L	2	218658764	218663443
DYNLL1	12	120469850	120498493
NID2	14	52004803	52069228
TAF1C	16	84177847	84187070
TMEM202	15	72398273	72408029
HIST1H3E	6	26224199	26227473
AHSP	16	31527864	31528803
CCNE2	8	94879770	94896678
HLA-DPA1	CHR_HSCHR6_MHC_COX_CTG1	32986539	33002747
SH3RF2	5	145936579	146081791
NME7	1	169132531	169367967
GPR15	3	98531899	98533150
PQBP1	X	48897912	48903143
RGS18	1	192158457	192185815
CBLN2	18	72536680	72638521
ANGPTL6	19	10092338	10102796
TRAF3IP2	6	111556454	111606278
NDUFB4	3	120596309	120602500
GGPS1	1	235327350	235344532
EMC1	1	19215664	19251552
PCIF1	20	45934628	45948023
ICAM4	19	10286967	10288522
C11orf52	11	111918032	111926872
SPTAN1	9	128552558	128633662
FUK	16	70454421	70480274
MGEA5	10	101784443	101818465
ZNF534	19	52429187	52452315
FGFRL1	4	1009936	1026897
C10orf131	10	95907603	95938723
TPM1	15	63042632	63071915
BCL2	18	63123346	63320128
INTS3	1	153728067	153774808
RAD51AP1	12	4538798	4560048
SIL1	5	138946720	139293557
SFPQ	1	35176378	35193148
TDRD5	1	179591613	179691272
ADIPOR2	12	1688574	1788678
PLAGL1	6	143940300	144064599
KCNJ2	17	70168673	70180048
TRIM55	8	66126896	66175487
LILRB4	CHR_HSCHR19LRC_PGF1_CTG3_1	54592642	54600251
IGLL1	22	23573125	23580308
ST3GAL5	2	85839144	85889014
LLPH	12	66116555	66130768
ZFYVE26	14	67727374	67816590
HLA-B	CHR_HSCHR6_MHC_QBL_CTG1	31343976	31347305
MRPS30	5	44808925	44820428
CELSR2	1	109250019	109275750
TTC23	15	99136323	99251223
C12orf50	12	87980035	88034037
SERINC3	20	44496221	44522109
FMO5	1	147175351	147243050
KCNG4	16	84218667	84239750
ATM	11	108222484	108369102
ERCC2	19	45349837	45370918
DDX21	10	68956128	68985073
ANK1	8	41653220	41896762
GIGYF2	2	232697299	232860575
LTBR	12	6375045	6391571
NPDC1	9	137039470	137046203
KLK10	19	51012739	51020175
KDM8	16	27203495	27221768
TSKS	19	49739753	49763330
SPDYA	2	28782517	28850611
TNIP3	4	121131408	121227466
AGT	1	230702523	230714297
TRAF3IP1	2	238320441	238400900
WFDC11	20	45648563	45670270
SLC9A2	2	102619707	102711318
TC2N	14	91779751	91867536
ARHGAP35	19	46918676	47005077
WDR46	CHR_HSCHR6_MHC_DBB_CTG1	33257029	33267452
NRF1	7	129611714	129757082
DIP2A	21	46458899	46569852
OR8J1	11	56360215	56361288
CD300LD	17	74579365	74592283
CLMP	11	123069865	123195281
SF3B4	1	149923317	149928344
TTC22	1	54779712	54801267
DCPS	11	126303752	126345749
TCEB3C	18	47028202	47030078
ZMYND8	20	47209214	47356889
SNX5	20	17941597	17968980
TOR3A	1	179081377	179098023
HMG20B	19	3572777	3579088
HS6ST3	13	96090839	96839562
LDB3	10	86668449	86736068
SEC61A1	3	128051641	128071683
NOC4L	12	132144448	132152473
MACF1	1	39081316	39487177
GFRA1	10	116056925	116273467
RNH1	CHR_HSCHR11_1_CTG8	494512	507300
ZMYM2	13	19958670	20091829
DMRTB1	1	53459399	53467488
VAC14	16	70687439	70801161
IL1RL1	2	102311502	102352037
C10orf35	10	69630251	69633599
KIAA0430	CHR_HSCHR16_1_CTG1	15679520	15728320
BFAR	CHR_HSCHR16_1_CTG1	14632814	14669237
SNRNP70	19	49085419	49108605
ABCF3	3	184186023	184194012
OR10J3	1	159313670	159314659
ZNF418	19	57921884	57935393
AHCY	20	34280268	34311802
PFDN4	20	54207847	54228052
PREP	6	105277565	105403084
ZNF671	19	57719751	57727624
KIAA0232	4	6781375	6884170
SPTBN1	2	54456285	54671445
TMEM51	1	15152532	15220480
PRPS1	X	107628424	107651026
KIAA1109	4	122152333	122362758
DNAH10	12	123762188	123936206
GSS	20	34928430	34955817
REG3A	2	79157003	79159753
FLOT1	CHR_HSCHR6_MHC_MCF_CTG1	30806191	30820021
CD248	11	66314487	66317044
RHO	3	129528640	129535169
KIAA1549	7	138831381	138981318
NLRP7	CHR_HSCHR19LRC_PGF1_CTG3_1	54853492	54877496
GAMT	19	1397084	1401570
CDHR2	5	176542511	176595974
HOXC12	12	53954834	53958956
KLF2	19	16324817	16327874
ATP6V1C2	2	10721649	10785110
CMTM4	16	66614750	66696707
HADHA	2	26190635	26244726
GABRA3	X	152166234	152451358
HAT1	2	171922448	171983682
CCDC42	17	8729934	8745219
INPP4A	2	98444854	98594390
SYTL3	6	158650014	158764876
OR8K1	11	56346039	56346998
MON1A	3	49908862	49930173
PM20D2	6	89146050	89165565
CDC14A	1	100345025	100520277
ACOT9	X	23702253	23766475
COL6A1	21	45981737	46005050
OR5A2	11	59421943	59422976
BAZ1A	14	34752731	34875647
PEX3	6	143450807	143490010
WNT2	7	117276631	117323289
GPR151	5	146513103	146516190
MXD1	2	69897688	69942945
CKAP2	13	52455429	52476628
SPOCD1	1	31790422	31816051
PIGS	17	28553383	28571872
DTYMK	2	241675742	241686991
MASP2	1	11026523	11047233
ETFB	19	51345169	51366418
ECHDC3	10	11742366	11764070
TBC1D8	2	101007617	101252866
FCER1A	1	159289714	159308224
ZNF18	17	11977439	11997510
LAMA1	18	6941744	7117814
TMCO5A	15	37921939	37967724
EIF3M	11	32583798	32606262
OR14J1	6	29306690	29307655
ILF2	1	153661788	153671048
COL4A5	X	108439844	108697545
NINL	20	25452705	25585517
TDP1	14	89954939	90044768
PARP2	14	20343582	20357905
ASB11	X	15281697	15315656
HADH	4	107989714	108035175
RTN1	14	59595976	59870966
CACNB1	17	39173456	39197703
ZNF787	19	56087366	56121280
SERPINB9	6	2887266	2903280
DIRC2	3	122794795	122881139
TAF6	7	100107070	100119841
MYCT1	6	152697895	152724567
SMARCA5	4	143513463	143557486
HTRA1	10	122461525	122514908
MAGEB18	X	26138343	26140735
CTBP2	10	124984317	125161170
HIVEP2	6	142751467	142945201
H2AFX	11	119093854	119095467
TARM1	19	54069895	54081365
ZPBP2	17	39868164	39877896
POLR3D	8	22245104	22254600
RBAK	7	5045821	5069488
GPSM2	1	108875350	108934545
TOMM5	9	37582646	37592642
APOBEC4	1	183646404	183653316
PPP2R5A	1	212285537	212361863
PSKH1	16	67893272	67929678
DOCK2	5	169637247	170083382
NLK	17	28041737	28196381
OR5L1	11	55811367	55812476
NPR1	1	153678637	153693992
DNHD1	11	6497260	6593758
KRTAP5-1	11	1584342	1585283
ATP5A1	18	46080248	46104334
PNP	14	20468954	20477094
FLT3	13	28003274	28100592
ATE1	10	121740421	121928801
CHCHD1	10	73782047	73783652
PPP1R12B	1	202348699	202592706
C3orf20	3	14675099	14773034
CXCL1	4	73869393	73871242
TMEM184B	22	38219291	38273034
BSPH1	19	47968046	47992170
SLC30A7	1	100896076	100981753
ADAM7	8	24440930	24526970
LRRC52	1	165544007	165563961
FAT1	4	186587783	186726722
TUBB6	18	12307669	12344320
ACVR2B	3	38453851	38493142
LIN28A	1	26410778	26429722
THUMPD3	3	9362842	9386791
SYCE1L	16	77199397	77213215
FAM150A	8	52534037	52565507
SEC14L2	22	30396857	30425317
CELA2B	1	15465909	15491400
DAXX	CHR_HSCHR6_MHC_DBB_CTG1	33296480	33307190
IMMT	2	86143932	86195770
XPA	9	97674909	97697357
PLG	6	160702238	160753315
FCAR	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54874257	54890481
ADAM23	2	206443539	206621130
WDR25	14	100376418	100530303
JPH2	20	44111695	44187578
DUSP2	2	96143166	96145440
PTS	11	112226365	112269955
KIR3DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54723963	54736023
JAKMIP3	10	132104671	132184809
DEFA5	8	7055304	7056734
MUS81	11	65857126	65867653
NRM	CHR_HSCHR6_MHC_MANN_CTG1	30732707	30736080
TMEM108	3	133038391	133397792
TAB1	22	39399741	39437060
GPR101	X	137030148	137031674
COMMD7	20	32702691	32743997
SLC44A3	1	94820342	94895246
KIR2DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54724487	54767859
ZFYVE16	5	80408013	80479350
LTN1	21	28928144	28992956
MMADHC	2	149569634	149587816
ERGIC1	5	172834275	172952685
PTPN4	2	119759631	119983818
PCLO	7	82754013	83162930
ATP8B3	19	1782075	1812276
SLC39A6	18	36108532	36129385
CCL1	17	34360328	34363231
RANBP3	19	5916139	5978142
CASC5	15	40594020	40664342
NDFIP2	13	79481124	79556075
BCL2L14	12	12049844	12211084
QPCTL	19	45692483	45703989
KLK14	19	51077495	51084245
RNF183	9	113297093	113303376
DNAJB9	7	108569568	108574850
AFMID	17	78187317	78207701
P4HTM	3	48989886	49007154
MALT1	18	58671386	58754477
ZNF284	19	44072144	44089613
TMEM248	7	66921225	66958551
ZNF395	8	28345585	28402701
LST1	CHR_HSCHR6_MHC_COX_CTG1	31573530	31576311
GNG12	1	67701466	67833467
COX6B2	19	55349306	55354814
OIT3	10	72893581	72933033
PLA2G4A	1	186828953	186988981
SPATA24	5	139396563	139404088
LILRA4	19	54333185	54339150
MORC4	X	106813871	107000244
BCL2L11	2	111119378	111168447
SHMT1	17	18327860	18363563
SECTM1	17	82321024	82334074
DTX2	CHR_HSCHR7_2_CTG4_4	76501267	76505995
PDHA1	X	19343893	19361705
JUN	1	58780788	58784327
OR4C16	11	55572128	55573060
ZNF79	9	127424374	127445372
OR1A1	17	3215621	3216550
RFPL4A	19	55759014	55763175
RAD51C	17	58692573	58735611
DNTTIP1	20	45791937	45811427
ADA	20	44619522	44652233
PPIL3	2	200870907	200889303
ABHD16A	CHR_HSCHR6_MHC_QBL_CTG1	31677180	31693655
PCBP2	12	53452102	53481162
CLK3	15	74598500	74645414
CMA1	14	24505353	24508265
PPP1R15B	1	204403387	204411791
SDCCAG8	1	243256034	243500092
CELF1	11	47465944	47565569
EIF3H	8	116642130	116766925
DOCK8	9	214854	465259
MTCH1	6	36968141	36986298
TRIM40	CHR_HSCHR6_MHC_MCF_CTG1	30214604	30227224
APOM	CHR_HSCHR6_MHC_QBL_CTG1	31642642	31648435
SCN1A	2	165989160	166128047
HCST	19	35902480	35904377
PFKFB2	1	207034366	207081024
HBS1L	6	134960378	135103056
DCAKD	17	45023340	45061109
NAA10	X	153929242	153935223
OR5V1	CHR_HSCHR6_MHC_APD_CTG1	29422681	29432038
MYPOP	19	45890020	45902604
XPO1	2	61477849	61538626
ENG	9	127815012	127854756
CLDND2	19	51367098	51369003
SYNGR2	17	78168558	78173527
MKRN2	3	12557014	12583713
LRTM1	3	54918237	54967088
FADS3	11	61873519	61892051
CROT	7	87345681	87399795
TCEB3	1	23743155	23762059
HPS5	11	18278668	18322198
CD48	1	160678746	160711851
STX2	12	130789600	130839266
PXK	3	58332880	58426126
GNL1	CHR_HSCHR6_MHC_MCF_CTG1	30619830	30635627
RPS4X	X	72255679	72277300
SIGLEC15	18	45825512	45844080
PRRC2A	CHR_HSCHR6_MHC_QBL_CTG1	31610949	31627996
MED9	17	17476986	17493226
UPB1	22	24494107	24528390
CYSLTR1	X	78271464	78327691
MED30	8	117520713	117540262
TRMT12	8	124450820	124462150
SPATS2L	2	200305881	200482263
ZNF485	10	43606407	43617903
PPTC7	12	110533245	110583320
ZNF282	7	149195485	149226248
C3orf36	3	133928145	133929812
GRXCR1	4	42893267	43030658
GOLGA5	14	92794231	92839963
RABL3	3	120686681	120742993
CDRT1	17	15565483	15619704
MAPKAPK5	12	111841978	111902238
MAD1L1	7	1815793	2233243
EVI5L	19	7830233	7864976
HLA-DRA	CHR_HSCHR6_MHC_DBB_CTG1	32414554	32419764
C14orf79	14	104985775	105010482
PRR3	CHR_HSCHR6_MHC_DBB_CTG1	30547117	30553954
KLC4	6	43040777	43075099
LPAR6	13	48389567	48444704
TLX1	10	101130505	101137789
DNAJC11	1	6634168	6701924
RAD9B	12	110501655	110532086
C1GALT1	7	7156934	7248651
HLA-DQA1	CHR_HSCHR6_MHC_QBL_CTG1	32570792	32675717
ACTR6	12	100199122	100241865
ITGA4	2	181457202	181536187
SUV39H2	10	14878820	14904315
CYB5A	18	74250847	74292016
ATF7IP2	16	10326434	10483638
HP	16	72054592	72061055
DCAF8L2	X	27590382	27748821
TCTEX1D1	1	66752459	66778787
PQLC3	2	11155198	11178874
KCNH6	17	63523334	63548977
MFGE8	15	88898683	88913411
TRPV6	CHR_HSCHR7_2_CTG6	142932365	142946922
SH3GLB2	9	129007036	129028303
NREP	5	111662621	111997464
MOCS1	6	39899578	39934551
CPT1B	22	50568861	50578465
SH2D3A	19	6752160	6767588
RBM3	X	48574449	48579066
ELL3	15	43772600	43777543
LCE2B	1	152686123	152687401
KIFC3	16	57758217	57863053
PACRG	6	162727132	163315492
RPS3	11	75399486	75422280
NUP85	17	75205659	75235758
PRSS46	3	46719583	46736429
DAPK2	15	63907036	64072033
PLS3	X	115561174	115650861
WASF3	13	26557703	26688948
BARX2	11	129375940	129452279
FAM155B	X	69505241	69532508
NTM	11	131370478	132336822
RPL38	17	74203582	74210655
PPAN	19	10106289	10111634
S100A3	1	153547329	153549372
POLR3G	5	90471748	90514553
PRICKLE2	3	64093867	64445476
PRSS45	3	46742092	46812558
RAD54L	1	46247688	46278473
AK4	1	65147549	65232145
AKAP9	7	91940867	92110673
THNSL1	10	25016658	25026664
INCENP	11	62123973	62153163
TMEM132E	17	34580749	34639318
SLC24A2	9	19507452	19786928
GFRA3	5	138252379	138274671
LY6G6F	CHR_HSCHR6_MHC_QBL_CTG1	31697109	31700820
ZMYM5	13	19823482	19863636
DNAJC15	13	43023203	43114224
PLS1	3	142596387	142713664
PTN	7	137227341	137343865
PODN	1	53062052	53085502
LRRC28	15	99251362	99390729
MPO	17	58269856	58280935
LBP	20	38346356	38377023
ST3GAL3	1	43705824	43931165
CNGA2	X	151738451	151745304
OR2W1	6	29044213	29045240
BCL11A	2	60451167	60553567
CLOCK	4	55427903	55547138
EYA3	1	27970344	28088696
CREBL2	12	12611827	12645108
SLC30A1	1	211571568	211578742
HAVCR1	5	157029413	157059119
PPP1CA	11	67398183	67421183
SMPD3	16	68358325	68448688
CDNF	10	14819250	14838575
DGKI	7	137381037	137847092
SLC25A38	3	39383348	39397351
FSCN2	17	81528396	81537130
BMP2K	4	78776342	78916372
HLA-G	CHR_HSCHR6_MHC_APD_CTG1	29826986	29831158
KRT74	12	52565782	52573825
USP6	17	5116438	5175034
TARBP2	12	53500921	53506431
DDHD2	8	38225218	38275558
CPSF4	7	99438922	99457371
FAM174B	15	92617443	92809884
CNTN1	12	40692442	41072418
SP3	2	173906459	173965702
DALRD3	3	49015488	49022293
TYW3	1	74733152	74766678
HR	8	22114415	22133384
GLI1	12	57460135	57472262
MIS18BP1	14	45203190	45253540
HMOX1	22	35380361	35394214
IDH1	2	208236227	208266074
PPA1	10	70202830	70233911
NDNL2	15	29268149	29269829
SLC27A2	15	50182196	50236395
HIST1H1A	6	26017085	26017732
HLA-DMB	CHR_HSCHR6_MHC_MCF_CTG1	32968079	32986577
RARA	17	40309192	40357643
GCC2	2	108448561	108509415
HRK	12	116856144	116881441
C17orf67	17	56791913	56838773
CNN2	19	1026581	1039068
RUFY1	5	179550558	179610026
FAIM2	12	49866896	49904217
TLE6	19	2977446	2995184
SAYSD1	6	39104064	39115189
C1orf228	1	44674692	44725591
GSDMB	17	39904595	39919854
ZDHHC17	12	76763588	76853696
OR11A1	CHR_HSCHR6_MHC_APD_CTG1	29425576	29457138
PIN4	X	72181353	72302926
CSF2	5	132073790	132076170
KCNH5	14	62699454	63102037
DEPDC1	1	68474152	68497221
GJB2	13	20187470	20192898
CUTC	10	99702558	99756134
CTBP1	4	1211448	1249953
MAK16	8	33484750	33501260
CDK11A	1	1702730	1724324
HLA-DQA1	CHR_HSCHR6_MHC_DBB_CTG1	32606510	32628863
PRSS38	1	227815693	227846470
IL27	16	28499362	28512051
GPR183	13	99294530	99307405
IFI30	19	18173162	18178117
C11orf1	11	111878935	111885975
CSRNP3	2	165469647	165689407
IDO1	8	39902275	39928444
KLC3	19	45333434	45351520
C15orf52	15	40331452	40340967
VAMP5	2	85584408	85593412
IGFBP2	2	216632828	216664436
SENP6	6	75601509	75718278
TRIM69	15	44728988	44767829
C7orf25	7	42908726	42912305
CC2D1A	19	13906201	13930879
CCDC6	10	59788763	59906656
SCNN1B	16	23278231	23381299
FAM105A	5	14581775	14615007
DMBX1	1	46506996	46514226
CABLES2	20	62388632	62407285
FAM210A	18	13663347	13726663
SLC22A23	6	3268962	3457022
CHRM2	7	136868669	137020255
COA5	2	98599310	98608515
C22orf23	22	37943050	37953669
NUSAP1	15	41332694	41381050
MCM6	2	135839626	135876426
APBB2	4	40810027	41216714
PACSIN3	11	47177525	47186443
LAIR2	CHR_HSCHR19LRC_PGF1_CTG3_1	54428232	54441459
LRRCC1	8	85107147	85146076
COL6A6	3	130560334	130678155
YBEY	21	46286337	46297751
CLEC4D	12	8509475	8522366
KLHL15	X	23983720	24027186
MAGEA11	X	149688228	149717266
PPM1G	2	27381194	27409687
HMOX2	CHR_HSCHR16_3_CTG1	4476649	4512306
ODF3B	22	50529710	50532580
EPS8	12	15620158	15882329
POLH	6	43576150	43615660
ALG12	22	49900229	49918458
MBD3L1	19	8832398	8843340
ARMCX5	X	102599168	102604159
DDX52	17	37609739	37643464
NUP205	7	135557919	135648757
ALB	4	73397114	73421412
BPIFB6	20	33031648	33044047
GHR	5	42423777	42721878
DNAJC28	21	33485530	33491720
MRPL15	8	54135210	54147901
MYT1L	2	1789113	2331260
ARHGEF9	X	63634967	63809274
POGZ	1	151402724	151459465
FKBP9	7	32957404	33006931
RRAGB	X	55717739	55758774
WNT9A	1	227918656	227947898
LAMTOR1	11	72085895	72103387
ZNF684	1	40531561	40548169
TESC	12	117038923	117099479
TALDO1	11	747329	765024
TESK1	9	35605305	35610041
MBD6	12	57520710	57530148
HOOK3	8	42896932	43030539
MEX3A	1	156072013	156081998
TMEM89	3	48620759	48621855
TMEM141	9	136791355	136793257
GIPC3	19	3585553	3593541
GDF10	10	47300386	47313547
PKLR	CHR_HSCHR1_2_CTG31	155305243	155316838
KHSRP	19	6413348	6424794
HLA-DQB2	CHR_HSCHR6_MHC_SSTO_CTG1	32847708	32855144
UPRT	X	75274085	75304600
FAM169B	15	98437162	98514382
SCRIB	8	143790920	143815379
C14orf180	14	104579684	104590515
NCOA7	6	125781161	125932030
CDK10	16	89680737	89696364
PRH2	CHR_HSCHR12_3_CTG2	10929236	10932341
ZC2HC1B	6	143864436	143938356
LPIN3	20	41340920	41360582
FBXO18	10	5890203	5937594
ZNF83	19	52594060	52690496
PAF1	19	39385852	39391195
CRIP2	14	105472962	105480170
ADSSL1	14	104724186	104747325
AANAT	17	76453351	76470117
DHRS7C	17	9771434	9791297
SLC25A52	18	31759562	31760880
C17orf62	17	82442589	82450829
DUSP8	11	1554044	1571920
TAP2	CHR_HSCHR6_MHC_COX_CTG1	32744153	32761098
DAOA	13	105465867	105491034
SLC12A9	7	100826820	100867009
LRP3	19	33177603	33208867
TMPRSS11E	CHR_HSCHR4_1_CTG9	68447498	68497649
SLC9C1	3	112140887	112294258
COX7C	5	86617904	86620962
TM9SF2	13	99501417	99564006
COQ5	12	120503274	120534434
SP6	17	47844908	47855874
ABCA5	17	69244311	69327244
ARSD	X	2903970	2929351
ILVBL	19	15114984	15125785
THEM4	1	151873584	151909808
IDE	10	92451684	92574076
FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54874219	54890443
LIX1L	1	145933423	145958001
SLC11A2	12	50979401	51028566
KLK13	19	51056206	51065114
ZNF346	5	177022696	177081189
PABPN1L	16	88863333	88866660
FOXM1	12	2857681	2877155
AZIN1	8	102826357	102893864
NDC80	18	2571511	2616635
ITPK1	CHR_HSCHR14_7_CTG1	92936914	93116320
NAALAD2	11	90131515	90192894
PAMR1	11	35431823	35530300
OR4A15	11	55367884	55368918
MBLAC2	5	90458203	90474768
MRPL4	19	10251901	10260045
CYP4A22	1	47137435	47149741
C1orf141	1	67092165	67231853
CELA3B	1	21977021	21998642
PRR3	CHR_HSCHR6_MHC_SSTO_CTG1	30549106	30555943
KIR2DL1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54813971	54828213
C2orf66	2	196805002	196810276
DSG2	18	31498043	31549008
NYX	X	41447434	41475710
C9orf24	9	34379019	34397832
B4GALT7	5	177600100	177610347
RPL13A	19	49487554	49492308
MRGPRX1	11	18933813	18939507
KLK3	19	50854915	50860764
NOP16	5	176383938	176388975
GPT2	16	46884378	46931297
TMEM158	3	45224466	45226278
CSNK1D	17	82239023	82273731
SGSM2	17	2337498	2381058
TMEM176A	7	150800403	150805120
TRIM39	CHR_HSCHR6_MHC_SSTO_CTG1	30316398	30336780
EML2	19	45606994	45645629
CAPSL	5	35904295	35938779
SYPL1	7	106090503	106112576
RHOC	1	112701106	112707434
FUT10	8	33370824	33473422
PPT2	CHR_HSCHR6_MHC_SSTO_CTG1	32160569	32179650
RNF125	18	32018372	32073213
FKBP2	11	64241003	64244132
MIF	CHR_HSCHR22_1_CTG7	23894004	23895227
CACNA2D2	3	50362799	50504244
PSD3	8	18527301	19084730
CCDC125	5	69280175	69332809
RPS21	20	62387116	62388520
RPS29	14	49570984	49599164
STK40	1	36339624	36385896
OLFM3	1	101802574	101997030
TMEM14A	6	52671109	52686588
WNT5A	3	55465715	55490539
BTG2	1	203305491	203309602
ZNF641	12	48337180	48351414
FABP7	6	122779475	122784074
LCE2A	1	152698364	152699442
ZNF644	1	90915298	91022272
HAPLN1	5	83637805	83721613
GIGYF1	7	100679507	100689448
TUFM	16	28842411	28846408
SLC35E3	12	68746106	68793964
KRTAP3-3	CHR_HSCHR17_4_CTG4	40993557	40994260
KTI12	1	52032103	52033816
GOLGA7	8	41490396	41510980
ASTE1	3	131013875	131027649
SLC6A18	5	1225355	1246189
HEMGN	9	97926791	97944856
FAM222B	17	28755978	28855232
TRIT1	1	39841022	39883511
SLC31A2	9	113150942	113164137
TSLP	5	111070062	111078024
KDM5B	1	202724491	202809470
BIRC8	19	53289601	53291626
LRRC70	5	62578735	62581448
BOLL	2	197726879	197786762
ARG1	6	131573144	131584332
NHP2	5	178149460	178153967
HINT3	6	125956781	125980244
SSR1	6	7268306	7347446
NFKBIB	19	38899700	38908893
KIAA0319	6	24544104	24646155
F13B	1	197039191	197067267
RNF166	16	88696495	88706421
ANKRD2	10	97572499	97583884
LRRC49	15	70853239	71053657
HDAC10	22	50245183	50251405
NUP43	6	149724315	149749665
CSF2RB	22	36913628	36940449
ZNRD1	CHR_HSCHR6_MHC_MANN_CTG1	30054063	30060065
RACGAP1	12	49976923	50033136
TEAD3	6	35473597	35497076
RNF152	18	61808063	61894247
UTP18	17	51260528	51297936
DCTPP1	16	30423619	30430075
TARDBP	1	11012344	11026420
ASIC4	2	219514170	219538772
MOSPD3	7	100612102	100615384
SH2D3C	9	127738317	127778741
IL21R	16	27402162	27452042
TAAR8	6	132552693	132553721
MCCC2	CHR_HSCHR5_1_CTG1_1	70912599	70929779
RBP5	12	7123684	7128942
ELF4	X	130064874	130110716
KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54789815	54800891
TBPL2	14	55413541	55456726
HLA-DRB1	CHR_HSCHR6_MHC_COX_CTG1	32444148	32590068
SPINK9	5	148321203	148339849
TOX4	14	21476597	21499175
ZNF16	8	144930358	144950888
CCDC81	11	86374736	86423109
